EMUL.L,iShares MSCI EMU Large Cap,IE00BCLWRF22,28.36,ETF,LSE
EMUM.L,iShares MSCI EMU Mid Cap,IE00BCLWRD08,30.11,ETF,LSE
EMUU.L,iShares MSCI EMU USD Hdg,IE00BWZN1T31,4.43,ETF,LSE
EMV.L,ISH MSCI EM USD-ACC,IE00B8KGV557,1659.5,ETF,LSE
ERN1.L,iShares Euro Ultrashort Bond,IE00BCRY6557,79.18,ETF,LSE
ERND.L,iShares $ Ultrashort Bond,IE00BCRY6227,100.02,ETF,LSE
ERNE.L,iShares Euro Ultrashort Bond,IE00BCRY6557,100.28,ETF,LSE
ERNS.L,iShares £ Ultrashort Bond,IE00BCRY6441,100.29,ETF,LSE
ERNU.L,ISHARES IV PLC ISHARES $ ULTRAS,IE00BCRY6227,70.66,ETF,LSE
ES15.L,,IE00B5L65R35,132.54,ETF,LSE
EUCF.L,iShares Euro Corporate Bond Fincls,IE00B87RLX93,104.96,ETF,LSE
EUE.L,iShares EURO STOXX 50 Dist,IE0008471009,2386.5,ETF,LSE
EULC.L,iShares MSCI EMU Large Cap,IE00BCLWRF22,22.43,ETF,LSE
EUMC.L,iShares MSCI EMU Mid Cap,IE00BCLWRD08,23.8,ETF,LSE
EUN.L,iShares STOXX Europe 50,IE0008470928,2235.5,ETF,LSE
EUXS.L,iShares MSCI Europe ex-UK GBP Hedged,IE00BVDPJP67,420,ETF,LSE
EXFN.L,iShares EURO STOXX 50 ex-Financials,IE00BD5J2G21,28.15,ETF,LSE
FSEU.L,iShares FactorSelect MSCI Europe,IE00BZ0PKV06,380.45,ETF,LSE
FSUS.L,ISHARES IV PLC ISHARES FACTORSE,IE00BZ0PKS76,362.8,ETF,LSE
FSWD.L,ISHARES IV PLC ISHARES FACTORSE,IE00BZ0PKT83,359.05,ETF,LSE
FXC.L,iShares Public Limited Company - iShares China Large Cap UCITS ETF,IE00B02KXK85,6558,ETF,LSE
GHYS.L,iShares Glbl Hi Yld Corp Bd GBP Hdgd,IE00B8KQFS66,96.37,ETF,LSE
GI18.L,ISHARES IV PLC ISHARES IBONDS S,IE00BVC3VM20,352.85,ETF,LSE
HDIQ.L,ISHARES II PLC ISHARES MSCI USA,IE00BKM4H312,1898.25,ETF,LSE
HYLD.L,iShares Global High Yield Corp Bond,IE00B74DQ490,89.73,ETF,LSE
IAAA.L,iShares Global AAA-AA Government Bond,IE00B87G8S03,91.84,ETF,LSE
IAEX.L,iShares Public Limited Company - iShares AEX UCITS ETF,IE00B0M62Y33,3459.88,ETF,LSE
IAPD.L,iShares Public Limited Company - iShares Asia Pacific Dividend UCITS ETF,IE00B14X4T88,1788.5,ETF,LSE
IASH.L,ISHARES IV PLC ISHARES MSCI CHI,IE00BQT3WG13,249,ETF,LSE
IASP.L,iShares II Public Limited Company - iShares Asia Property Yield UCITS ETF,IE00B1FZS244,1724.25,ETF,LSE
IAUP.L,iShares Gold Producers,IE00B6R52036,8.2,ETF,LSE
IAUS.L,iShares III Public Limited Company - iShares MSCI Australia UCITS ETF,IE00B5377D42,27,ETF,LSE
IAUT.L,iShares Austria Government Bond,IE00B7RRK356,147,ETF,LSE
IBC1.L,iShares Euro Inflation Linked Govt Bd,IE00B0M62X26,201.4,ETF,LSE
IBCI.L,iShares Public Limited Company - iShares Euro Inflation Linked Government Bond UCITS ETF,IE00B0M62X26,158.91,ETF,LSE
IBCX.L,iShares Public Limited Company - iShares Euro Corporate Bond Large Cap UCITS ETF,IE0032523478,134.26,ETF,LSE
IBEL.L,iShares Belgium Government Bond,IE00B7RRKB38,153.89,ETF,LSE
IBGE.L,iShares Euro Government Bond 0-1yr,IE00B3FH7618,79.32,ETF,LSE
IBGL.L,iShares II Public Limited Company - iShares Euro Government Bond 15-30yr UCITS ETF,IE00B1FZS913,188.13,ETF,LSE
IBGM.L,iShares II Public Limited Company - iShares Euro Government Bond 7-10yr UCITS ETF,IE00B1FZS806,165.88,ETF,LSE
IBGS.L,iShares Public Limited Company - iShares Euro Government Bond 1-3yr UCITS ETF,IE00B14X4Q57,113.58,ETF,LSE
IBGX.L,iShares II Public Limited Company - iShares Euro Government Bond 3-5yr UCITS ETF,IE00B1FZS681,132.68,ETF,LSE
IBGY.L,iShares Euro Government Bond 5-7yr,IE00B4WXJG34,122.6,ETF,LSE
IBGZ.L,iShares Euro Government Bond 10-15yr,IE00B4WXJH41,139.56,ETF,LSE
IBTL.L,ISHARES IV PLC ISHARES $ TREASU,IE00BSKRJZ44,345.1,ETF,LSE
IBTM.L,iShares II Public Limited Company - iShares $ Treasury Bond 7-10yr UCITS ETF,IE00B1FZS798,143.13,ETF,LSE
IBTS.L,iShares Public Limited Company - iShares $ Treasury Bond 1-3yr UCITS ETF,IE00B14X4S71,93.65,ETF,LSE
IBZL.L,iShares Public Limited Company - iShares MSCI Brazil UCITS ETF (Dist),IE00B0M63516,1421.63,ETF,LSE
ICDU.L,ISHARES V PUBLIC LIMITED COMPAN,IE00B4MCHD36,342.95,ETF,LSE
ICOV.L,iShares III Public Limited Company - iShares Euro Covered Bond UCITS ETF,IE00B3B8Q275,155.26,ETF,LSE
IDAP.L,iShares Asia Pacific Dividend,IE00B14X4T88,25.41,ETF,LSE
IDAR.L,iShares Asia Property Yield,IE00B1FZS244,24.47,ETF,LSE
IDBT.L,iShares $ Treasury Bond 1-3yr,IE00B14X4S71,132.61,ETF,LSE
IDBZ.L,iShares MSCI Brazil Dist,IE00B0M63516,20.3,ETF,LSE
IDEE.L,iShares MSCI Eastern Europe Capped,IE00B0M63953,17.81,ETF,LSE
IDEM.L,iShares MSCI Emerging Markets Dist,IE00B0M63177,31.48,ETF,LSE
IDEU.L,iShares Germany Government Bond,IE00B5V94313,140.01,ETF,LSE
IDFE.L,iShares MSCI AC Far East ex-Japan Sm Cap,IE00B2QWDR12,25.67,ETF,LSE
IDFF.L,iShares MSCI AC Far East ex-Japan,IE00B0M63730,40.83,ETF,LSE
IDFX.L,iShares China Large Cap,IE00B02KXK85,93.98,ETF,LSE
IDIN.L,iShares Global Infrastructure,IE00B1FZS467,23.44,ETF,LSE
IDJG.L,iShares Public Limited Company - iShares EURO Total Market Growth Large UCITS ETF,IE00B0M62V02,2418.5,ETF,LSE
IDJP.L,iShares MSCI Japan Small Cap Dist,IE00B2QWDY88,31.32,ETF,LSE
IDJV.L,iShares Public Limited Company - iShares EURO Total Market Value Large UCITS ETF,IE00B0M62T89,1489.75,ETF,LSE
IDKO.L,iShares MSCI Korea Dist,IE00B0M63391,33.35,ETF,LSE
IDNA.L,iShares MSCI North America,IE00B14X4M10,38.34,ETF,LSE
IDP6.L,iShares S&P SmallCap 600,IE00B2QWCY14,44.38,ETF,LSE
IDPE.L,iShares Listed Private Equity,IE00B1TXHL60,16.05,ETF,LSE
IDTK.L,iShares MSCI Turkey,IE00B1FZS574,27.08,ETF,LSE
IDTL.L,iShares $ Treasury Bond 20+yr,IE00BSKRJZ44,4.88,ETF,LSE
IDTM.L,iShares $ Treasury Bond 7-10yr,IE00B1FZS798,202.74,ETF,LSE
IDTP.L,iShares $ TIPS,IE00B1FZSC47,196.57,ETF,LSE
IDTW.L,iShares MSCI Taiwan,IE00B0M63623,33.82,ETF,LSE
IDUP.L,iShares US Property Yield,IE00B1FZSF77,28.04,ETF,LSE
IDUS.L,iShares S&P 500 Dist,IE0031442068,20.26,ETF,LSE
IDVY.L,iShares Public Limited Company - iShares EURO Dividend UCITS ETF,IE00B0M62S72,1531.25,ETF,LSE
IDWP.L,iShares Developed Markets Property Yld,IE00B1FZS350,24.53,ETF,LSE
IDWR.L,iShares MSCI World Dist,IE00B0M62Q58,34.44,ETF,LSE
IE15.L,iShares III Public Limited Company - iShares Euro Corporate Bond 1-5yr UCITS ETF,IE00B4L60045,109.46,ETF,LSE
IEAC.L,iShares III Public Limited Company - iShares Core Euro Corporate Bond UCITS ETF,IE00B3F81R35,128.13,ETF,LSE
IEAG.L,iShares III Public Limited Company - iShares Euro Aggregate Bond UCITS ETF,IE00B3DKXQ41,122.58,ETF,LSE
IEBB.L,iShares Euro Corporate Bond BBB-BB,IE00BSKRK281,4.93,ETF,LSE
IEBC.L,iShares Core Euro Corporate Bond,IE00B3F81R35,101.1,ETF,LSE
IECF.L,iShares Euro Corporate Bond Fincls,IE00B87RLX93,83.15,ETF,LSE
IEDY.L,iShares Emerging Markets Dividend,IE00B652H904,17.42,ETF,LSE
IEEM.L,iShares Public Limited Company - iShares MSCI Emerging Markets UCITS ETF (Dist),IE00B0M63177,2210.5,ETF,LSE
IEER.L,iShares Public Limited Company - iShares MSCI Eastern Europe Capped UCITS ETF,IE00B0M63953,1262.25,ETF,LSE
IEFM.L,iShares MSCI Europe Momentum Factor,IE00BQN1K786,408.55,ETF,LSE
IEFQ.L,iShares MSCI Europe Quality Factor,IE00BQN1K562,416.35,ETF,LSE
IEFS.L,iShares MSCI Europe Size Factor,IE00BQN1KC32,411.95,ETF,LSE
IEFV.L,iShares MSCI Europe Value Factor,IE00BQN1K901,371.85,ETF,LSE
IEGA.L,iShares III Public Limited Company - iShares Core Euro Government Bond UCITS ETF,IE00B4WXJJ64,123.9,ETF,LSE
IEGE.L,iShares III Public Limited Company - iShares Euro Government Bond 0-1yr UCITS ETF,IE00B3FH7618,100.53,ETF,LSE
IEGL.L,iShares Euro Government Bond 15-30yr,IE00B1FZS913,238.43,ETF,LSE
IEGM.L,iShares Euro Government Bond 7-10yr,IE00B1FZS806,210.23,ETF,LSE
IEGS.L,ISHARES PLC ISHARES EURO GOVERN,IE00B14X4Q57,143.96,ETF,LSE
IEGX.L,iShares Euro Government Bond 3-5yr,IE00B1FZS681,168.18,ETF,LSE
IEGY.L,iShares III Public Limited Company - iShares Euro Government Bond 5-7yr UCITS ETF,IE00B4WXJG34,155.39,ETF,LSE
IEGZ.L,iShares III Public Limited Company - iShares Euro Government Bond 10-15yr UCITS ETF,IE00B4WXJH41,176.88,ETF,LSE
IEMA.L,iShares III Public Limited Company - iShares MSCI Emerging Markets UCITS ETF (Acc),IE00B4L5YC18,24.44,ETF,LSE
IEMB.L,iShares II Public Limited Company - iShares J.P. Morgan $ Emerging Markets Bond UCITS ETF,IE00B2NPKV68,108.66,ETF,LSE
IEMG.L,ISHS MSCI EM USD-AC,IE00BKM4H197,1636.75,ETF,LSE
IEMI.L,iShares II Public Limited Company - iShares Emerging Market Infrastructure UCITS ETF,IE00B2NPL135,1434,ETF,LSE
IEML.L,iShares Emerging Markets Local Govt Bd,IE00B5M4WH52,62.58,ETF,LSE
IEMO.L,iShares MSCI Europe Momentum Factor,IE00BQN1K786,5.17,ETF,LSE
IEMS.L,iShares III Public Limited Company - iShares MSCI Emerging Markets Small Cap UCITS ETF,IE00B3F81G20,56.6,ETF,LSE
IEQU.L,iShares MSCI Europe Quality Factor,IE00BQN1K562,5.28,ETF,LSE
IESE.L,iShares DJ Eurp Sustainability Screened,IE00B52VJ196,33.46,ETF,LSE
IESG.L,iShares DJ Eurp Sustainability Screened,IE00B52VJ196,2646.5,ETF,LSE
IESP.L,iShares Spain Government Bond,IE00B428Z604,160.97,ETF,LSE
IESU.L,ISHARES V PUBLIC LIMITED COMPAN,IE00B42NKQ00,325.95,ETF,LSE
IESZ.L,iShares MSCI Europe Size Factor,IE00BQN1KC32,5.21,ETF,LSE
IEUR.L,iShares Public Limited Company - iShares FTSEurofirst 80 UCITS ETF,IE0004855221,780.63,ETF,LSE
IEUT.L,iShares Public Limited Company - iShares FTSEurofirst 100 UCITS ETF,IE0030974079,1901,ETF,LSE
IEUX.L,iShares Public Limited Company - iShares MSCI Europe ex-UK UCITS ETF,IE00B14X4N27,2113,ETF,LSE
IEVL.L,iShares MSCI Europe Value Factor,IE00BQN1K901,4.7,ETF,LSE
